Abreviatura,Expansión
"Abarloar","Colocar una embarcación al lado de otra o de un muelle, de forma tal que quede en contacto por su costado." 
"Abatimiento","Angulo formado entre la derrota y la línea de crujía, debido a la acción del viento." 
"Abatir","Caer hacia el sotavento por efecto del viento. Inclinar un objeto vertical y colocarlo sobre cubierta, por ejemplo abatir un mástil." 
"Abrigo","Lugar, defendido de los embates del mar, vientos y corrientes." 
"Abordar","Llegar, tocar una embarcación con otra, embestirla." 
"Aclarar","En el aparejo, cuando se aduja ordenadamente los cabos y se dispone la jarcia de labor para que trabaje sin enredos. Refiriéndose al tiempo, cuando despejan las nubes o la niebla." 
"Acoderar","Dar una codera, estando la embarcación fondeada, para presentar un costado en forma determinada." 
"Acollador","Cabo de poca mena que se pasa por la gaza de un cable y por un cancamo o landa y que sirve para tensarlo." 
"Acuartelar","Cazar una vela por el lado de barlovento." 
"Achicar","Extraer el agua o otro liquido de la sentina o algún compartimiento, mediante achicadores, bombas o cualquier otro medio. También achicar el paño","reducir la superficie vélica tomando rizos." 
"Achicador","Elemento que sirve para achicar." 
"Adrizar","Colocar el barco en posición vertical (en la dirección de las drizas), es la acción contraria de escorar." 
"Adujar","Acción de aclarar y acomodar un cabo dejándolo listo para su estiba o uso posterior." 
"Alefriz","Cavidad o ranura que se lastra en la roda, quilla y codaste de un barco de madera, para que encastre la traca de aparadura." 
"Aleta","Parte del barco, ubicada entre la popa y el través." 
"Alma","Cordón que forma el centro de un cabo o cable." 
"Alunamiento","Corte de forma curva de la baluma de una vela que se hace para aumentar su superficie." 
"Amadrinar","Unir o aparear dos cosas (pueden ser dos embarcaciones), a fin de reforzar una de ellas o producir en total mayor resistencia. Suele utilizarse como sinónimo de abarloar." 
"Amainar","Calmar el viento o la marejada." 
"Amante","Nombre genérico de todo cabo de gran resistencia firme por un extremo al penol de una percha y por el otro a un aparejo." 
"Amantillo","cabo o cable que sirve para sostener, mantener horizontal o en un ángulo determinado la botavara el tangón o alguna otra percha." 
"Amarra","Hacer firme un cabo. También afirmar el barco a un muelle o boya." 
"Amura","Uno de los puños de la vela. Parte del barco ubicada entre la proa y el través." 
"Anclote","En los buques, es un ancla pequeña que se usa como auxiliar o refuerzo de la principal." 
"Aparadura","En los barcos de madera forrados con trancas, es la primera traca del fondo cuyo costado interno encaja en el alefriz." 
"Aparejar","Colocar todos los elementos de la jarcia, poniendo el barco en condiciones de navegar." 
"Aparejo","Conjunto de palos, perchas y jarcia de un barco. También se denomina aparejo a un conjunto de motones y cabos que permiten multiplicar la fuerza." 
"Apopar","Acción de aumentar el calado en popa trasladando pesos." 
"Arboladura","El conjunto de mástiles de un barco." 
"Ardiente","Dícese del barco que tiene gran tendencia a orzar, llegando a ponerse proa al viento." 
"Arganeo","Grillete que se afirma en el ojo del ancla a fin de hacerle firme el cabo de fondeo." 
"Armar","Preparar el barco para salir a navegar, sinónimo de aparejar." 
"Arraigado, arraigo","Punto fijo en el cual se puede hacer firme un cabo, grillete, moton, aparejo, etc." 
"Arrancada","Inercia que trae el barco cuando viene navegando, estropada." 
"Arranchar","Ordenar, acomodar las cosas a bordo. También preparar el barco para enfrentar mal tiempo (poner el barco "a son de mar") 
"Arrufo","Curvatura longitudinal que se da al casco produciendo una elevación de la proa y la popa, a fin de evitar el embarque de agua." 
"Arribar","En un buque, maniobrar de manera que el barco caiga a sotavento. A veces se usa como sinónimo de derivar." 
"Arrumbamiento","Dirección que sigue una costa o que queda determinada por dos objetos." 
"Atracar","Arrimarse con un barco a otro, a un muelle, o a una boya a los efectos de amarrarse, embarcar o desembarcar personas o cosas." 
"Atracada, atraque","Maniobra de atracar." 
"Azimut","Angulo comprendido entre el norte y la vertical de un astro, o punto notable. A veces se lo usa como sinónimo de marcación." 
"Azocar","Apretarse, ajustarse bien a un cabo o nudo de manera que resulte muy difícil soltarlo." 
"Babor","Lado izquierdo del barco, visto de popa a proa." 
"Balandrajo","Embarcación de un solo mástil, nombre genérico de los barcos de un solo palo." 
"Baliza","Señal luminosa automática, generalmente sostenida por una estructura en forma de torre." 
"Baluma","Relinga de popa de las velas, que no se hace firme a ninguna percha." 
"Bancada","Elemento que cumple funciones de asiento." 
"Banda","Costado del barco." 
"Bandazo","Golpe violento con el costado contra el mar, debido a las olas y/o escora repentina." 
"Bañera","Espacio del casco destinado a la tripulación, también llamado cockpit." 
"Baos","Vigas dispuestas transversalmente que apoyan en las cabezas de las cuadernas. Sirven para sostener la cubierta y rigidizar el casco en sentido transversal." 
"Barloventear","Navegar de ceñida o bolina, es decir con el menor ángulo posible al viento." 
"Barlovento","Lugar o parte desde donde sopla el viento con respecto al observador." 
"Barógrafo","Instrumento que mide la presión atmosférica y registra sus valores permitiendo analizar tendencias." 
"Barómetro","Instrumento que sirve para medir la presión atmosférica." 
"Batten","Sinónimo de sable." 
"Baupres","Palo que sale fuera de la proa y sirve para hacer firme los estays en barcos grandes o antiguos." 
"Bichero","Palo con punta y gancho metálico en un extremo que sirve para tomarse o abrirse al atracar o desatracar la embarcación." 
"Bitácora","Caja y soporte que contiene el compás magnético en barcos relativamente grandes y en buques." 
"Bita","Pieza metálica de uno o más brazos que sirve para amarrar un cabo o cable." 
"Bolina","Sinónimo de ceñida. Antiguamente uno de los cabos utilizados para maniobrar las velas." 
"Borda","Prolongación del costado de un buque por encima de la cubierta que sirve de protección contra los golpes del mar." 
"Borde, bordaja","Al bordejear, se llama así a la navegación que se hace entre cada virada por avante." 
"Bordejear","Navegar de ceñida cambiando de amuras alternativamente a fin de alcanzar un punto ubicado justo en la dirección del viento." 
"Borneo","Cambio en la dirección del viento." 
"Botalón","Percha que se larga sobre el baupres." 
"Botavara","Percha horizontal articulada al mástil por medio de la gansera que sirve para cambiar la orientación de la vela." 
"Botazo","Refuerzo lateral de madera que se coloca en la parte superior de la banda a fin de proteger el casco contra golpes." 
"Boyarín","Boya pequeña que suele colocarse como referencia para señalar la ubicación de una amarra y, en ocasiones el ancla." 
"Boza","Cabo que sirve para amarrar la embarcación por proa." 
"Braza","Cabo que sirve para cambiar la orientación de una percha, por ejemplo el tangón. Medida de longitud equivalente a 1,828 m. (6 pies)." 
"Brazola","Elevación del borde del cockpit o, en buques, del borde de una escotilla que tiene por objeto impedir o limitar la entrada de agua." 
"Brazos","Ramificaciones de la caña de un ancla de cepo." 
"Bruma","Niebla que se levanta del agua." 
"Buque","Barco de grandes dimensiones construido generalmente de acero, no propulsado por medio de velas y destinado a fines comerciales, militares u otros no deportivos." 
"Bularcamas","Cuadernas reforzadas que se intercalan entre las cuadernas normales un barcos grandes y buques." 
"Burdas","Cables que corren desde el mástil hasta las aletas en forma similar al estay popel, con aparejos en sus extremos que permiten realizar ajustes para controlar la flexión del mástil." 
"Cabecear","Uno de los movimientos del barco consistente en una elevación y descenso alternativos de la proa y la popa, debido a las olas de proa." 
"Cabeza","Extremo superior de la caña del ancla, donde va el arganeo." 
"Cable","Medida de longitud, submúltiplo de la milla marina, equivalente a su décima parte, es decir 185,2 metros." 
"Cabina","Parte de la embarcaci6n cerrada por la carroza, donde se encuentra el espacio habitable para la tripulación." 
"Cabo","Cualquiera de las cuerdas que se utilizan a bordo. Accidente geográfico consistente en dos puntas que se intercala en el agua, determinando entre ellas una concavidad en la costa." 
"Cabotaje","Navegación que se hace cerca de la costa guiándose por su conformación (navegación entre cabos)." 
"Caer","Hacer que la proa se dirija en una dirección determinada. Por ejemplo caer a babor." 
