nombre;siglas;codigo_identificacion;tipo_institucion;direccion;ciudad;provincia;pais;contacto;email;telefono;url;horario_atencion;condiciones_acceso;coordenadas_geograficas;notas
Archivo Histórico Provincial de Madrid;AHPM;ES-28079-AHPM;Archivo Público;Calle de Ramón de la Cruz, 28;Madrid;Madrid;España;Juan Pérez García;info@ahpm.es;+34 91 234 5678;https://www.ahpm.es;Lunes a Viernes: 9:00-14:00;Acceso libre previa solicitud;40.4168,-3.7038;Archivo fundado en 1850
Archivo General de Simancas;AGS;ES-47186-AGS;Archivo Nacional;Calle Miravete, s/n;Simancas;Valladolid;España;María López Sánchez;ags@cultura.gob.es;+34 983 590 003;https://www.culturaydeporte.gob.es/ags;Lunes a Viernes: 8:30-14:30;Acceso mediante carnet de investigador;41.5884,-4.8254;Uno de los archivos más antiguos de España
Biblioteca Nacional de España;BNE;ES-28071-BNE;Biblioteca Nacional;Paseo de Reyes Católicos, 4;Madrid;Madrid;España;Carlos Martínez Ruiz;atencion@bne.es;+34 91 580 7800;https://www.bne.es;Lunes a Sábado: 9:00-21:00;Acceso libre;40.4238,-3.6880;Biblioteca fundada en 1712 por Felipe V
Archivo Histórico Provincial de Las Palmas;AHPLP;ES-35016-AHPLP;Archivo Provincial;Calle Remedios, 12;Las Palmas de Gran Canaria;Las Palmas;España;Ana Rodríguez Morales;ahplaspalmas@gobiernodecanarias.org;+34 928 362 181;https://www.gobiernodecanarias.org/educacion/ahplp;Lunes a Viernes: 8:00-14:30;Acceso libre con cita previa;28.1005,-15.4128;Conserva documentación desde el siglo XVI
Archivo Histórico Provincial de Santa Cruz de Tenerife;AHPSCT;ES-38038-AHPSCT;Archivo Provincial;Calle Emilio Calzadilla, 3;Santa Cruz de Tenerife;Santa Cruz de Tenerife;España;Pedro González Hernández;ahptenerife@gobiernodecanarias.org;+34 922 534 050;https://www.gobiernodecanarias.org/educacion/ahpsct;Lunes a Viernes: 8:00-14:30;Acceso libre con carnet de investigador;28.4636,-16.2518;Fondos documentales desde la conquista de Canarias
Archivo Municipal de La Laguna;AMLL;ES-38023-AMLL;Archivo Municipal;Plaza del Adelantado, 1;San Cristóbal de La Laguna;Santa Cruz de Tenerife;España;María Carmen Delgado Suárez;archivo@aytolalaguna.es;+34 922 601 000;https://www.aytolalaguna.es;Lunes a Viernes: 9:00-13:30;Acceso libre;28.4875,-16.3154;Patrimonio Histórico UNESCO con documentos desde 1496
Casa-Museo León y Castillo;CMLC;ES-35017-CMLC;Museo-Archivo;Calle León y Castillo, 43;Telde;Las Palmas;España;Luis Hernández Pérez;casamuseo@telde.es;+34 928 691 377;https://www.telde.es/museo-leon-castillo;Martes a Sábado: 10:00-18:00;Acceso libre;27.9923,-15.4189;Casa natal de Fernando de León y Castillo
Archivo del Cabildo de Gran Canaria;ACGC;ES-35001-ACGC;Archivo Insular;Calle Pérez Galdós, 33;Las Palmas de Gran Canaria;Las Palmas;España;Francisco Suárez Moreno;archivo@grancanaria.com;+34 928 219 421;https://www.grancanaria.com/archivo;Lunes a Viernes: 8:30-14:00;Acceso mediante solicitud;28.1235,-15.4362;Fondos del Cabildo desde su creación en 1913
Archivo del Cabildo de Tenerife;ACT;ES-38001-ACT;Archivo Insular;Plaza de España, s/n;Santa Cruz de Tenerife;Santa Cruz de Tenerife;España;Isabel Martín Rodríguez;archivo@tenerife.es;+34 922 239 500;https://www.tenerife.es/archivo;Lunes a Viernes: 8:00-15:00;Acceso con cita previa;28.4682,-16.2546;Documentación histórica insular desde el siglo XIX
Real Sociedad Económica de Amigos del País de Tenerife;RSEAPT;ES-38015-RSEAPT;Archivo Privado;Calle San Agustín, 18;San Cristóbal de La Laguna;Santa Cruz de Tenerife;España;Antonio García López;secretaria@rseapt.org;+34 922 259 129;https://www.rseapt.org;Lunes a Viernes: 10:00-13:00;Acceso restringido previa autorización;28.4853,-16.3142;Institución fundada en 1776 con rico patrimonio documental
Archivo Diocesano de Canarias;ADC;ES-35013-ADC;Archivo Eclesiástico;Plaza del Espíritu Santo, 20;Las Palmas de Gran Canaria;Las Palmas;España;José Manuel García García;archivo@diocesisdecanarias.es;+34 928 314 350;https://www.diocesisdecanarias.es/archivo;Lunes a Viernes: 9:30-13:30;Acceso con autorización eclesiástica;28.1000,-15.4137;Documentos parroquiales y diocesanos desde el siglo XVI
